Max flow: 284
Edges
From		To		Capacity/Flow
81		822		7.00/0.00
81		645		4.00/0.00
82		266		8.00/0.00
82		369		4.00/0.00
82		877		3.00/0.00
83		784		1.00/0.00
83		141		4.00/0.00
83		604		6.00/0.00
83		475		9.00/0.00
83		967		9.00/1.00
84		239		10.00/0.00
84		86		8.00/0.00
84		509		1.00/0.00
84		633		3.00/0.00
84		641		9.00/0.00
84		581		10.00/0.00
84		542		2.00/0.00
84		933		3.00/0.00
85		22		2.00/0.00
85		82		5.00/0.00
85		624		6.00/2.00
85		957		3.00/0.00
85		595		3.00/0.00
86		352		10.00/0.00
86		463		5.00/0.00
86		373		8.00/0.00
87		133		6.00/0.00
87		256		3.00/0.00
87		659		3.00/0.00
87		878		1.00/0.00
87		806		7.00/0.00
87		788		8.00/0.00
87		94		6.00/0.00
87		556		10.00/0.00
88		235		6.00/0.00
88		553		9.00/0.00
88		541		8.00/0.00
88		547		6.00/0.00
89		797		8.00/0.00
89		726		8.00/0.00
89		474		1.00/0.00
89		299		7.00/0.00
89		304		9.00/0.00
89		767		3.00/0.00
89		517		10.00/0.00
89		599		8.00/0.00
89		364		6.00/0.00
89		504		2.00/0.00
89		932		6.00/1.00
90		440		4.00/1.00
90		873		9.00/0.00
90		563		10.00/2.00
90		37		5.00/0.00
91		112		7.00/0.00
91		907		5.00/0.00
91		426		3.00/0.00
91		687		3.00/0.00
91		39		2.00/0.00
91		558		7.00/0.00
92		805		2.00/0.00
92		591		1.00/0.00
92		472		10.00/0.00
92		644		9.00/0.00
92		312		5.00/0.00
93		786		2.00/0.00
93		926		2.00/0.00
93		132		8.00/0.00
93		419		6.00/6.00
93		470		5.00/0.00
94		543		7.00/0.00
94		434		9.00/0.00
94		766		7.00/0.00
94		654		7.00/0.00
94		266		5.00/0.00
94		757		3.00/0.00
94		378		5.00/0.00
95		690		2.00/0.00
95		863		1.00/0.00
95		899		1.00/0.00
95		729		9.00/0.00
95		399		3.00/0.00
95		517		4.00/0.00
95		145		9.00/5.00
95		571		7.00/0.00
95		48		10.00/0.00
95		17		1.00/0.00
95		420		8.00/0.00
95		79		2.00/0.00
96		73		8.00/0.00
96		42		8.00/0.00
96		693		8.00/0.00
96		208		4.00/0.00
97		195		5.00/0.00
97		549		2.00/0.00
97		364		2.00/0.00
97		620		8.00/0.00
97		839		2.00/0.00
97		217		5.00/0.00
98		731		2.00/0.00
98		512		9.00/0.00
98		177		10.00/0.00
98		590		7.00/0.00
98		505		6.00/0.00
99		165		2.00/0.00
99		517		10.00/0.00
99		695		4.00/0.00
99		379		8.00/0.00
99		712		2.00/2.00
99		284		1.00/0.00
99		50		5.00/0.00
99		459		4.00/0.00
100		790		3.00/0.00
100		105		1.00/0.00
100		559		1.00/0.00
100		842		10.00/0.00
100		152		9.00/0.00
100		348		5.00/0.00
101		31		1.00/0.00
101		2		10.00/3.00
101		491		5.00/0.00
101		850		4.00/0.00
101		636		5.00/0.00
101		451		4.00/0.00
101		33		10.00/0.00
102		577		9.00/0.00
102		552		1.00/1.00
102		391		9.00/0.00
102		61		4.00/0.00
102		646		10.00/0.00
103		17		5.00/0.00
103		939		9.00/0.00
103		749		1.00/0.00
103		701		2.00/0.00
103		813		8.00/0.00
103		22		5.00/0.00
103		418		4.00/0.00
104		756		9.00/0.00
104		229		9.00/0.00
104		445		2.00/0.00
104		944		10.00/0.00
104		16		2.00/0.00
104		914		2.00/0.00
105		306		2.00/0.00
105		265		3.00/0.00
105		2		9.00/9.00
106		982		3.00/0.00
106		127		6.00/0.00
106		107		1.00/0.00
106		702		2.00/0.00
106		337		10.00/0.00
106		989		6.00/0.00
106		164		7.00/0.00
106		578		10.00/0.00
107		822		10.00/0.00
107		592		2.00/0.00
107		23		3.00/0.00
107		507		6.00/0.00
108		79		10.00/0.00
108		450		2.00/0.00
108		769		8.00/0.00
108		734		6.00/0.00
108		98		6.00/0.00
108		290		4.00/0.00
109		775		5.00/0.00
109		481		2.00/0.00
109		483		8.00/0.00
109		977		8.00/0.00
109		204		8.00/0.00
109		213		1.00/0.00
109		462		2.00/0.00
110		790		2.00/0.00
110		105		2.00/0.00
110		594		7.00/0.00
110		24		1.00/0.00
110		823		7.00/0.00
110		103		9.00/0.00
111		334		6.00/0.00
111		761		10.00/0.00
111		368		9.00/0.00
111		873		9.00/0.00
111		67		2.00/0.00
112		315		9.00/0.00
112		577		1.00/0.00
112		762		2.00/0.00
112		119		9.00/0.00
113		571		1.00/0.00
113		599		5.00/0.00
113		994		4.00/0.00
114		254		1.00/1.00
114		42		9.00/0.00
114		740		7.00/2.00
114		377		2.00/0.00
114		163		4.00/0.00
114		284		8.00/0.00
115		559		6.00/0.00
115		561		8.00/0.00
115		516		2.00/0.00
115		353		8.00/0.00
115		399		7.00/0.00
115		439		2.00/0.00
116		282		5.00/0.00
116		370		3.00/0.00
116		251		3.00/0.00
116		517		2.00/0.00
116		305		10.00/0.00
116		483		3.00/0.00
117		514		10.00/0.00
117		385		7.00/0.00
117		944		1.00/0.00
117		716		9.00/0.00
118		899		6.00/0.00
118		546		1.00/0.00
118		16		7.00/0.00
118		612		8.00/0.00
118		56		10.00/0.00
118		611		5.00/0.00
118		539		5.00/0.00
118		60		4.00/0.00
119		361		3.00/0.00
119		109		8.00/0.00
119		76		9.00/0.00
119		614		5.00/0.00
119		174		9.00/0.00
119		568		6.00/0.00
119		430		9.00/0.00
119		227		5.00/0.00
120		292		7.00/0.00
120		706		7.00/0.00
120		676		9.00/0.00
121		574		2.00/0.00
121		728		8.00/0.00
121		799		1.00/0.00
121		686		6.00/0.00
121		192		6.00/1.00
121		827		10.00/0.00
122		671		4.00/0.00
122		42		3.00/0.00
122		366		5.00/0.00
122		313		4.00/0.00
122		798		10.00/0.00
122		963		5.00/0.00
122		522		5.00/0.00
122		251		4.00/0.00
123		758		8.00/0.00
123		903		2.00/0.00
123		688		8.00/0.00
123		980		10.00/0.00
124		188		7.00/0.00
124		928		2.00/0.00
124		818		6.00/0.00
124		196		1.00/0.00
124		287		6.00/0.00
124		89		9.00/0.00
125		609		6.00/0.00
125		547		9.00/0.00
125		652		1.00/0.00
125		714		1.00/0.00
125		986		3.00/0.00
125		717		3.00/0.00
125		454		1.00/0.00
125		367		3.00/0.00
125		370		5.00/0.00
125		615		3.00/0.00
125		946		10.00/0.00
126		387		5.00/0.00
126		28		5.00/0.00
126		990		2.00/0.00
126		856		1.00/0.00
127		398		8.00/0.00
127		365		4.00/0.00
127		723		2.00/0.00
127		394		5.00/0.00
127		762		2.00/0.00
127		743		7.00/0.00
128		594		7.00/0.00
128		848		1.00/0.00
128		770		5.00/0.00
128		101		9.00/2.00
128		207		5.00/0.00
128		97		9.00/0.00
128		679		3.00/0.00
129		453		3.00/2.00
129		840		2.00/0.00
129		420		5.00/0.00
129		450		7.00/0.00
129		902		3.00/3.00
129		57		10.00/0.00
130		703		3.00/0.00
130		382		5.00/0.00
130		205		6.00/0.00
131		882		6.00/0.00
131		549		8.00/0.00
131		927		5.00/0.00
131		186		8.00/0.00
131		664		1.00/0.00
132		928		7.00/0.00
132		195		5.00/0.00
132		975		4.00/0.00
132		607		2.00/0.00
132		654		3.00/0.00
133		565		5.00/0.00
133		317		4.00/0.00
133		155		7.00/0.00
133		261		8.00/0.00
133		380		3.00/0.00
133		397		4.00/0.00
133		860		8.00/0.00
134		827		1.00/0.00
134		594		2.00/0.00
134		952		4.00/0.00
134		628		7.00/0.00
134		327		7.00/0.00
134		31		8.00/0.00
134		853		10.00/0.00
135		889		6.00/0.00
135		551		8.00/0.00
135		908		4.00/0.00
135		488		7.00/0.00
135		272		5.00/0.00
136		875		9.00/0.00
136		428		10.00/0.00
136		772		1.00/0.00
136		944		4.00/0.00
137		341		9.00/0.00
137		943		10.00/0.00
137		687		4.00/0.00
137		280		4.00/0.00
137		819		5.00/0.00
137		213		8.00/0.00
137		704		2.00/0.00
137		580		4.00/0.00
137		864		7.00/0.00
138		87		4.00/0.00
138		690		9.00/0.00
138		1000		1.00/0.00
139		351		2.00/0.00
139		605		9.00/0.00
139		292		9.00/0.00
139		950		3.00/0.00
139		83		10.00/0.00
139		282		6.00/0.00
140		376		1.00/0.00
140		640		10.00/0.00
140		877		5.00/0.00
140		482		10.00/0.00
141		193		6.00/0.00
141		698		5.00/0.00
141		500		4.00/0.00
141		2		6.00/6.00
141		578		3.00/0.00
142		2		10.00/10.00
142		734		3.00/0.00
142		791		7.00/0.00
142		759		6.00/0.00
142		46		3.00/0.00
143		273		9.00/0.00
143		515		5.00/0.00
143		185		4.00/0.00
143		56		9.00/0.00
143		905		4.00/0.00
144		2		6.00/6.00
144		800		3.00/0.00
144		384		9.00/0.00
144		739		9.00/0.00
144		340		10.00/0.00
144		538		6.00/0.00
144		396		7.00/0.00
144		702		1.00/0.00
145		34		3.00/0.00
145		134		4.00/0.00
145		570		4.00/0.00
145		2		8.00/5.00
145		976		8.00/0.00
145		650		2.00/0.00
145		982		4.00/0.00
145		56		4.00/0.00
145		538		10.00/0.00
145		15		4.00/0.00
146		752		2.00/0.00
146		301		2.00/0.00
146		34		6.00/0.00
146		755		10.00/0.00
147		606		10.00/0.00
147		123		10.00/0.00
147		400		1.00/0.00
147		953		7.00/0.00
148		423		5.00/0.00
148		194		3.00/0.00
148		42		1.00/0.00
148		442		2.00/0.00
149		586		4.00/0.00
149		177		3.00/3.00
149		927		3.00/0.00
149		26		5.00/0.00
149		804		1.00/0.00
149		224		8.00/3.00
149		962		8.00/0.00
149		535		5.00/0.00
149		816		1.00/0.00
149		565		2.00/0.00
150		42		3.00/0.00
150		216		6.00/0.00
150		911		3.00/0.00
150		477		2.00/0.00
150		458		1.00/0.00
150		134		4.00/0.00
